uuid,signature,status,error,error_message,sender_wallet,token_type,token_symbol,token_mint_address,time_stamp,recipient_wallet,amount
032cb765-e904-41b5-9404-c5b279e5071b,3GMS96RnmkcqnPxpWgtZyMEk7QHCwcQo49u6vgxU8s2ygLS2UedLJ5xWE6ZrnFhcNTgFFiCUME4Ra6t1sNz8QML6,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022454Z,6ZaSPMqYVcudfVuVkGyjKRAnksdYdszYu87u9jEaW6se,0.005956
032cb765-e904-41b5-9404-c5b279e5071b,3GMS96RnmkcqnPxpWgtZyMEk7QHCwcQo49u6vgxU8s2ygLS2UedLJ5xWE6ZrnFhcNTgFFiCUME4Ra6t1sNz8QML6,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022454Z,AhdBETHu7FovAt1pwc8wnJPjTwxEj3KVTjEBT1eCMWGV,0.003487
032cb765-e904-41b5-9404-c5b279e5071b,3GMS96RnmkcqnPxpWgtZyMEk7QHCwcQo49u6vgxU8s2ygLS2UedLJ5xWE6ZrnFhcNTgFFiCUME4Ra6t1sNz8QML6,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022454Z,5K6Tx6khAVJCEKbvG6Qx7eNyoNfrLtCTpNHswc9nnYcY,0.004949
032cb765-e904-41b5-9404-c5b279e5071b,3GMS96RnmkcqnPxpWgtZyMEk7QHCwcQo49u6vgxU8s2ygLS2UedLJ5xWE6ZrnFhcNTgFFiCUME4Ra6t1sNz8QML6,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022454Z,9h9Xy7supkKPs4qBmKysVWh1co4yc6gQdMyy4GpRiSpt,0.009511
032cb765-e904-41b5-9404-c5b279e5071b,3GMS96RnmkcqnPxpWgtZyMEk7QHCwcQo49u6vgxU8s2ygLS2UedLJ5xWE6ZrnFhcNTgFFiCUME4Ra6t1sNz8QML6,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022454Z,5AhRZ6ha9Wh9M9nipjNEUXcs9DPWj9AcWxiJT2V3DPhM,0.008462
